Year, Month, Day,     Extent,Ice_Concentration_Percent,Surface_Temperature (in Celsius)
1979,5,18,13.691,5.72,-39.7
1979,5,20,13.56,69.82,-21.46
1979,5,22,13.529,88.53,-9.96
1979,5,24,13.364,,-30.39
1979,5,26,13.399,59.38,-15.93
1979,5,28,13.292,,-13.93
1979,5,30,13.26,86.99,-8.81
1979,6,1,13.076,6.16,-33.39
1979,6,3,12.977,,
1979,6,5,12.832,68.59,
1979,6,7,12.791,,-4.51
1979,6,9,12.854,46.95,-18.82
1979,6,11,12.733,18.42,-30.27
1979,6,13,12.673,,0
1979,6,15,12.548,15.53,-27.31
1979,6,17,12.517,22.57,
1979,6,19,12.415,90.66,-9.45
1979,6,21,12.373,77.23,-33.32
1979,6,23,12.243,28.26,-20.4
1979,6,25,12.112,98.22,-16.3
1979,6,27,11.977,,-35.81
1979,6,29,11.829,,-6.84
1979,7,1,11.562,96.5,1.75
1979,7,3,11.363,80.22,-32.93
1979,7,5,11.255,92.66,-2.44
1979,7,7,10.936,20.23,
1979,7,9,10.793,79.09,-21.94
1979,7,11,10.662,97.09,-19.68
1979,7,13,10.503,24.46,-35.56
1979,7,15,10.401,,
1979,7,17,10.256,88.4,-13.62
1979,7,19,9.927,77.62,-24.27
1979,7,21,9.919,73.38,
1979,7,23,9.668,11.71,
1979,7,25,9.614,2.35,-33.12
1979,7,27,9.556,78.24,-14.48
1979,7,29,9.342,95.28,
1979,7,31,9.223,,-17.37
1979,8,2,9,56.48,
1979,8,4,8.859,50.72,-22.33
1979,8,6,8.744,33.38,-8.96
1979,8,8,8.61,6,
1979,8,10,8.328,,-22.13
1979,8,12,8.284,54.34,-31.73
1979,8,14,8.138,39.37,
1979,8,16,7.971,91.84,-8.39
1979,8,18,7.811,60.13,
1979,8,20,7.659,,
1979,8,22,7.566,36.55,4.4
1979,8,24,7.577,68.3,-14.83
1979,8,26,7.421,37.72,
1979,8,28,7.364,11.24,1.16
1979,8,30,7.284,0.79,-14.97
1979,9,1,7.228,91.21,
1979,9,3,7.147,0.64,
1979,9,5,7.037,,-33.62
1979,9,7,7.075,72.99,-16.35
1979,9,9,7.092,15.91,0.59
1979,9,11,6.981,28.89,-30.94
1979,9,13,7.003,68.03,
1979,9,15,7.007,,-18.85
1979,9,17,7.001,10.34,-12.47
1979,9,19,6.91,,-35.26
1979,9,21,6.895,51.64,-30.88
1979,9,23,7.033,60.27,
1979,9,25,7.058,31.9,-24.78
1979,9,27,7.127,94.88,-12.7
1979,9,29,7.173,24.1,
1979,10,1,7.404,,
1979,10,3,7.534,80.38,-38.06
1979,10,5,7.813,81.47,
1979,10,7,7.878,60.78,
1979,10,9,8.115,8.28,0.24
1979,10,11,8.136,,-25.24
1979,10,13,8.338,80.36,-33.41
1979,10,15,8.57,0.3,
1979,10,17,8.938,,-19.08
1979,10,19,9.19,26.57,-35.07
1979,10,21,9.295,,-11.24
1979,10,23,9.466,43.24,-7.47
1979,10,25,9.7,40.32,-19.45
1979,10,27,9.869,11.2,-34.1
1979,10,29,9.797,72.68,-20.15
1979,10,31,9.924,5.24,
1979,11,2,10.144,34.14,-29.53
1979,11,4,10.159,14.9,-31.23
1979,11,6,10.267,79.97,-33.69
1979,11,8,10.27,,-18.31
1979,11,10,10.497,43.59,
1979,11,12,10.61,,-35.75
1979,11,14,10.8,24.84,3.06
1979,11,16,10.92,78.82,0.91
1979,11,18,11.01,8.63,-2.7
1979,11,20,11.157,45.94,
1979,11,22,11.352,25.91,3
1979,11,24,11.419,,-5.42
1979,11,26,11.581,51.03,
1979,11,28,11.884,77.89,-2.88
1979,11,30,12.076,19.44,-16.38
1979,12,2,12.39,15.49,-31.76
1979,12,4,12.462,,
1979,12,6,12.781,63.44,-33.45
1979,12,8,12.991,62.07,1.13
1979,12,10,13.101,,-29.06
1979,12,12,13.292,88.64,-18.54
1979,12,14,13.268,53.23,-36.83
1979,12,16,13.322,69.38,-34.74
1979,12,18,13.377,88.16,
1979,12,20,13.541,,-1.04
1979,12,22,13.619,28.2,-28.32
1979,12,24,13.773,36,-38.46
1979,12,26,13.934,68.68,-27.69
1979,12,28,14.101,,
1979,12,30,14.092,,4.06
1980,1,1,14.2,6.41,
1980,1,3,14.302,,-12.73
1980,1,5,14.414,,-33.39
1980,1,7,14.518,73.33,-11.84
1980,1,9,14.594,,-36.46
1980,1,11,14.665,32.25,
1980,1,13,14.771,,-38.24
1980,1,15,14.831,65.32,-9.31
1980,1,17,14.957,82.74,
1980,1,19,15.12,9.49,-34.46
1980,1,21,15.141,23.77,-24.36
1980,1,23,15.195,93.33,-9.44
1980,1,25,15.209,,2.78
1980,1,27,15.124,60.31,-34.39
1980,1,29,15.258,,
1980,1,31,15.491,6.47,-25.9
1980,2,2,15.401,92.64,-2.6
1980,2,4,15.639,,-2.62
1980,2,6,15.76,32.5,-8.94
1980,2,8,15.888,,-10.05
1980,2,10,15.895,22.39,
1980,2,12,15.97,28.41,-27.83
1980,2,14,16.017,26.75,-15.56
1980,2,16,16.095,7.18,1.28
1980,2,18,16.095,16.72,-21.81
1980,2,20,16.17,58.39,-25.35
1980,2,22,16.066,76.25,
1980,2,24,16.087,56.73,-3.08
1980,2,26,16.069,46.73,
1980,2,28,16.22,5.81,-39.88
1980,3,1,16.157,24.07,-7.27
1980,3,3,16.248,38.99,
1980,3,5,16.302,24.74,-37.89
1980,3,7,16.289,,-23.04
1980,3,9,16.168,68.55,-13.09
1980,3,11,16.04,83.67,-39.23
1980,3,13,15.966,21.71,-20.42
1980,3,15,15.994,42.05,
1980,3,17,15.988,85.23,-38.61
1980,3,19,16.005,82.79,-13.03
1980,3,21,15.946,76.46,-6.67
1980,3,23,15.945,79.23,-15.74
1980,3,25,15.923,5.79,-26.35
1980,3,27,15.986,69.48,-26.36
1980,3,29,15.891,99.8,
1980,3,31,15.813,51.66,-27.66
1980,4,2,15.681,12.2,-10.5
1980,4,4,15.664,,-15.29
1980,4,6,15.707,40.83,-0.93
1980,4,8,15.653,8.44,-16.59
1980,4,10,15.644,,-39.1
1980,4,12,15.652,84.55,-23.77
1980,4,14,15.523,43.98,
1980,4,16,15.509,3.83,
1980,4,18,15.39,59.03,1.22
1980,4,20,15.376,56.56,-23.54
1980,4,22,15.406,40.61,-23.11
1980,4,24,15.259,,-0.12
1980,4,26,15.117,,-14.25
1980,4,28,14.996,93.47,-20.64
1980,4,30,14.859,57.14,-38.26
1980,5,2,14.718,,-10.32
1980,5,4,14.549,16.47,-7.92
1980,5,6,14.412,,-37.11
1980,5,8,14.32,99.02,-28.27
1980,5,10,14.186,10.91,-35.32
1980,5,12,14.011,,-7.32
1980,5,14,13.843,28.19,
1980,5,16,13.757,12.52,-25.05
1980,5,18,13.672,42.1,-6.13
1980,5,20,13.531,69.87,-31.37
1980,5,22,13.405,84.76,
1980,5,24,13.34,,-37.61
1980,5,26,13.206,0.64,-5.36
1980,5,28,13.023,15.55,-8.12
1980,5,30,12.916,56.23,
1980,6,1,12.766,23.9,-23.96
1980,6,3,12.706,51.44,
1980,6,5,12.614,50.82,-13.45
1980,6,7,12.61,99.49,3.45
1980,6,9,12.586,41.15,-28.37
1980,6,11,12.468,96.71,-31.8
1980,6,13,12.278,93.33,-5.54
1980,6,15,12.269,89.07,-17.16
1980,6,17,12.13,,-2.71
1980,6,19,12.043,42.29,
1980,6,21,12.007,7.28,-16.65
1980,6,23,11.842,78.89,-38.62
1980,6,25,11.699,14.1,0.16
1980,6,27,11.585,77.05,-6.5
1980,6,29,11.466,,-3.1
1980,7,1,11.283,67.87,-22.16
1980,7,3,11.075,,-32.9
1980,7,5,10.983,43.57,-5.13
1980,7,7,10.852,59.07,-34.43
1980,7,9,10.7,41.63,-35.11
1980,7,11,10.575,16.93,-19.21
1980,7,13,10.307,24.59,-19.82
1980,7,15,10.203,11.4,-1.46
1980,7,17,9.946,,-2.96
1980,7,19,9.847,,-9.48
1980,7,21,9.779,10.25,-11.45
1980,7,23,9.594,61.8,-1.03
1980,7,25,9.358,63.66,-33.46
1980,7,27,9.166,69.44,
1980,7,29,9.065,37.52,-5.28
1980,7,31,8.868,93.48,3.46
1980,8,2,8.76,91.89,-27.95
1980,8,4,8.611,61.73,
1980,8,6,8.548,39.68,0.73
1980,8,8,8.348,0.32,-14.61
1980,8,10,8.202,17,-26.27
1980,8,12,8.041,64.69,-10.65
1980,8,14,7.82,70.33,-27.15
1980,8,16,7.765,28.04,4.51
1980,8,18,7.761,,-16.34
1980,8,20,7.717,,-6.28
1980,8,22,7.758,79.85,-18.46
1980,8,24,7.578,92.56,-9.77
1980,8,26,7.667,,-8.38
1980,8,28,7.588,14.54,
1980,8,30,7.6,36.68,-30.08
1980,9,1,7.544,97.55,
1980,9,3,7.555,35.65,-4.87
1980,9,5,7.533,1.52,-32.22
1980,9,7,7.574,,-6.57
1980,9,9,7.56,46.35,-20.95
1980,9,11,7.557,53.36,-2.63
1980,9,13,7.543,42.2,-37.85
1980,9,15,7.602,88.46,4.54
1980,9,17,7.58,10.39,-36.97
1980,9,19,7.651,98.04,-9.25
1980,9,21,7.686,,-11.08
1980,9,23,7.782,96.71,-6.28
1980,9,25,7.854,52.8,
1980,9,27,7.966,63.71,-9.59
1980,9,29,8.019,32.52,
1980,10,1,8.223,18.06,-33.34
1980,10,3,8.213,93.43,-25.58
1980,10,5,8.485,96.54,
1980,10,7,8.532,,0.16
1980,10,9,8.809,35.06,-11.96
1980,10,11,8.975,86.95,-10.19
1980,10,13,9.161,,-13.62
1980,10,15,9.218,86.5,-13.13
1980,10,17,9.272,3.99,-31.92
1980,10,19,9.389,64.25,-8.29
1980,10,21,9.468,56.96,-37.75
1980,10,23,9.586,20.94,-18.07
1980,10,25,9.643,79.05,-30.05
1980,10,27,9.841,21.99,-0.62
1980,10,29,9.911,91.48,
1980,10,31,10.198,62.07,1.39
1980,11,2,10.42,39.69,-28.78
1980,11,4,10.523,,
1980,11,6,10.652,94.21,-19.05
1980,11,8,10.789,83.81,0.62
1980,11,10,10.88,32.12,-16.77
1980,11,12,10.976,65.95,
1980,11,14,11.087,84.17,-38.7
1980,11,16,11.217,90.13,
1980,11,18,11.337,55.16,-28.97
1980,11,20,11.628,,-24.37
1980,11,22,11.78,16.18,
1980,11,24,12.096,84.81,-10.33
1980,11,26,12.256,56.26,-8.75
1980,11,28,12.476,44.16,-35.65
1980,11,30,12.626,26.01,-10.04
1980,12,2,12.643,,-16.11
1980,12,4,13.032,38.59,
1980,12,6,13.122,21.5,-1.17
1980,12,8,13.298,69.11,-23.56
1980,12,10,13.334,76.46,-5.31
1980,12,12,13.569,18,
1980,12,14,13.685,58.41,-30.19
1980,12,16,13.91,16.66,-0.8
1980,12,18,13.762,26.76,-28.03
1980,12,20,13.697,79.17,-25.69
1980,12,22,13.779,15.42,-7.99
1980,12,24,13.798,9.66,4.88
1980,12,26,14,44.9,-21.11
1980,12,28,14.172,34.97,
1980,12,30,14.093,,-13.88
1981,1,1,14.256,,
1981,1,3,14.456,25.94,-31.66
1981,1,5,14.435,59.14,-1.35
1981,1,7,14.689,74.66,-7.42
1981,1,9,14.619,46.7,-20.28
1981,1,11,14.69,23.44,-13.43
1981,1,13,14.649,57.25,-35.62
1981,1,15,14.748,16.08,-8.25
1981,1,17,14.998,68.99,4.35
1981,1,19,15.066,44.25,2.07
1981,1,21,15.055,10.61,-33.48
1981,1,23,15.17,47.5,-19.38
1981,1,25,15.244,,-24.37
1981,1,27,15.35,2.67,-17.01
1981,1,29,15.503,15.94,
1981,1,31,15.627,,-17.33
1981,2,2,15.646,2.09,-15.68
1981,2,4,15.663,92.68,-19.46
1981,2,6,15.629,,2
1981,2,8,15.541,51.66,-6.51
1981,2,10,15.44,21.87,-24.74
1981,2,12,15.474,92.25,
1981,2,14,15.482,65.64,-7.51
1981,2,16,15.575,,-14.04
1981,2,18,15.592,72.88,
1981,2,20,15.731,98.64,-27.99
1981,2,22,15.654,41.1,-36.18
1981,2,24,15.706,43.4,
1981,2,26,15.667,3.36,-36.46
1981,2,28,15.657,22.07,
1981,3,2,15.628,,0.63
1981,3,4,15.726,44.28,-22.52
1981,3,6,15.646,28.87,-34.56
1981,3,8,15.644,74.01,
1981,3,10,15.733,89.87,-23.12
1981,3,12,15.657,41.5,
1981,3,14,15.801,8.65,
1981,3,16,15.771,71.2,-11.86
1981,3,18,15.528,52.94,-13.15
1981,3,20,15.621,43.45,-28.24
1981,3,22,15.535,71.65,-2.81
1981,3,24,15.559,35.2,-31.13
1981,3,26,15.626,25.66,-12.32
1981,3,28,15.517,48.7,-7.54
1981,3,30,15.481,43.93,-30.98
1981,4,1,15.44,49.43,-22.71
1981,4,3,15.221,51.14,-18.8
1981,4,5,15.224,,-4.52
1981,4,7,15.242,,4.51
1981,4,9,15.202,12.62,-24.77
1981,4,11,15.135,21.93,-2.7
1981,4,13,15.11,27.36,
1981,4,15,15.086,6.14,-13.42
1981,4,17,14.983,,-35.54
1981,4,19,14.95,45.8,-33.49
1981,4,21,14.92,,
1981,4,23,14.844,27.37,-37.65
1981,4,25,14.714,53.68,-27.8
1981,4,27,14.564,,1.39
1981,4,29,14.514,3.85,-25.29
1981,5,1,14.272,28.3,-20.72
1981,5,3,14.285,,
1981,5,5,14.249,57.76,-21.16
1981,5,7,14.077,98.06,-28.95
1981,5,9,14.083,,-18.05
1981,5,11,14.072,31.06,-30.31
1981,5,13,14.025,,
1981,5,15,13.928,6.77,
1981,5,17,13.843,85.03,-7.43
1981,5,19,13.752,92.8,
1981,5,21,13.568,39.94,-34.03
1981,5,23,13.464,,-38.57
1981,5,25,13.378,82.15,-5.58
1981,5,27,13.333,60.2,-4.92
1981,5,29,13.275,33.02,
1981,5,31,13.222,,-38.55
1981,6,2,13.059,14.19,-8.39
1981,6,4,13.002,,-7.41
1981,6,6,12.954,51.63,-3.81
1981,6,8,12.863,55.55,4.48
1981,6,10,12.721,74.97,-2.69
1981,6,12,12.652,,
1981,6,14,12.487,8.74,
1981,6,16,12.465,5.31,-33.24
1981,6,18,12.364,82.19,-34.68
1981,6,20,12.216,,-12.1
1981,6,22,12.064,,-8.65
1981,6,24,12.003,3.04,-21.48
1981,6,26,12.013,1.55,-2.54
1981,6,28,11.796,73.49,-24.91
1981,6,30,11.787,,-26.27
1981,7,2,11.428,15.61,-17.52
1981,7,4,11.33,58.32,-11.15
1981,7,6,11.181,72.54,-22
1981,7,8,11.022,69.72,-26.65
1981,7,10,10.894,3.84,-23.81
1981,7,12,10.691,43.54,
1981,7,14,10.643,57.04,
1981,7,16,10.354,,-15.09
1981,7,18,10.127,32.9,-27.61
1981,7,20,9.826,86.16,-28.45
1981,7,22,9.788,11.9,
1981,7,24,9.538,57.97,-18.54
1981,7,26,9.22,76.97,-22.74
1981,7,28,9.106,,-30.2
1981,7,30,8.917,,-8.64
1981,8,1,8.733,,-37.53
1981,8,3,8.587,88.62,-0.34
1981,8,5,8.326,80.77,-19.06
1981,8,7,8.176,10.56,
1981,8,9,8,26,-14.16
1981,8,11,7.917,52.37,-39.6
1981,8,13,7.883,,
1981,8,15,7.804,17.82,-31.35
1981,8,17,7.724,52.03,-4.25
1981,8,19,7.667,84.88,
1981,8,21,7.593,,-30.56
1981,8,23,7.53,38.1,0.67
1981,8,25,7.495,,-24.6
1981,8,27,7.408,84.79,
1981,8,29,7.296,62.18,-17.82
1981,8,31,7.37,4.69,-8.64
1981,9,2,7.203,,-28
1981,9,4,7.162,44.92,-35.82
1981,9,6,6.992,50.17,-32.1
1981,9,8,7.046,52.01,-16.81
1981,9,10,6.902,20.9,-39.88
1981,9,12,6.904,,-22.19
1981,9,14,6.952,93.1,-29.94
1981,9,16,6.951,36.95,-5.8
1981,9,18,7.002,78.8,-8.31
1981,9,20,7.053,70.7,
1981,9,22,7.231,82.82,
1981,9,24,7.261,94.58,-9.25
1981,9,26,7.303,38.09,-33.23
1981,9,28,7.489,,
1981,9,30,7.626,,-30.34
1981,10,2,7.987,66.78,-21.68
1981,10,4,8.087,48.64,-1.49
1981,10,6,8.151,3.21,3.07
1981,10,8,8.354,,4.3
1981,10,10,8.416,3.72,-36.6
1981,10,12,8.63,97.33,-21.32
1981,10,14,8.904,73.26,
1981,10,16,9.037,,
1981,10,18,9.062,,-12.05
1981,10,20,9.134,16.5,3.56
1981,10,22,9.096,,
1981,10,24,9.233,21.77,-39.04
1981,10,26,9.425,,-27.11
1981,10,28,9.609,,-22.98
1981,10,30,9.719,,-0.53
1981,11,1,9.905,85.68,-33.1
1981,11,3,9.929,82.26,
1981,11,5,10.337,6.36,-12.78
1981,11,7,10.518,71.95,-31
1981,11,9,10.51,,-30.02
1981,11,11,10.631,56.39,-36.92
1981,11,13,10.908,50.01,-24
1981,11,15,10.965,80.95,-12.79
1981,11,17,11.197,13.9,-11.47
1981,11,19,11.177,77.8,-35.53
1981,11,21,11.273,60.89,-27.88
1981,11,23,11.417,,4.82
1981,11,25,11.611,78.52,
1981,11,27,11.675,48.64,
1981,11,29,11.882,66.3,
1981,12,1,11.99,,-13.62
1981,12,3,12.336,,-33.48
1981,12,5,12.507,8.34,-30.11
1981,12,7,12.698,71.64,-3.27
1981,12,9,12.816,34.93,-16.12
1981,12,11,12.948,76.3,0.56
1981,12,13,13.217,58.48,
1981,12,15,13.418,92.33,-17.1
1981,12,17,13.635,2.89,-12.81
1981,12,19,13.802,81.95,1.86
1981,12,21,13.893,,-25.82
1981,12,23,13.877,6.97,-8.21
1981,12,25,14.016,,-27.74
1981,12,27,13.953,5.04,-17.89
1981,12,29,14.128,35.19,-28.55
1981,12,31,14.224,95.83,-23.22
1982,1,2,14.479,3.19,-39.33
1982,1,4,14.642,,-21.36
1982,1,6,14.88,,
1982,1,8,14.993,,-18.45
1982,1,10,15.052,2.23,-30.11
1982,1,12,15.141,51.9,-2.51
1982,1,14,15.138,33.7,0.79
1982,1,16,15.22,74.79,
1982,1,18,15.227,76.74,-7.44
1982,1,20,15.208,15.66,
1982,1,22,15.283,91.5,-29.22
1982,1,24,15.391,25.48,-22.42
1982,1,26,15.547,,
1982,1,28,15.695,6.69,-33.29
1982,1,30,15.755,71.9,-18.25
1982,2,1,15.836,60.53,
1982,2,3,15.841,74.62,-4.41
1982,2,5,15.85,18.46,-1.44
1982,2,7,15.797,79.68,-38.72
1982,2,9,15.829,37.78,-30.35
1982,2,11,15.748,,4.18
1982,2,13,15.854,23.07,-5.03
1982,2,15,15.857,73.22,-20.39
1982,2,17,16.058,,-29.52
1982,2,19,16.087,0.21,-17.17
1982,2,21,16.094,32.64,-16.94
1982,2,23,16.143,66.53,-0.1
1982,2,25,16.31,73.18,-15.56
1982,2,27,16.325,65.91,-11.23
1982,3,1,16.234,68.86,-23.04
1982,3,3,16.293,85.84,-32.31
1982,3,5,16.315,,-19.45
1982,3,7,16.309,,
1982,3,9,16.123,43.83,3.72
1982,3,11,16.099,89.53,-9.32
1982,3,13,16.005,92.96,-10.86
1982,3,15,15.955,73.87,-8.48
1982,3,17,15.905,51.4,-9.14
1982,3,19,15.938,,-34.23
1982,3,21,15.911,49.35,-8.08
1982,3,23,15.898,66.64,-14.73
1982,3,25,15.929,,0.85
1982,3,27,15.875,58.07,-34.31
1982,3,29,15.931,,-23.07
1982,3,31,15.982,50.34,-31.78
1982,4,2,15.945,67.79,-8.45
1982,4,4,15.943,60.25,
1982,4,6,15.859,40.74,4.55
1982,4,8,15.581,12.64,-21.64
1982,4,10,15.577,97.04,-7.83
1982,4,12,15.491,52.38,-22.18
1982,4,14,15.627,44.06,-10.89
1982,4,16,15.528,65.4,-37.18
1982,4,18,15.448,2.98,-14.06
1982,4,20,15.387,74.53,-16.31
1982,4,22,15.276,24.28,-25.32
1982,4,24,15.135,1.75,-30.9
1982,4,26,15.105,22.23,-17.26
1982,4,28,15.091,15.53,0.11
1982,4,30,14.997,,
1982,5,2,14.786,51.35,-27.13
1982,5,4,14.679,38.04,3.04
1982,5,6,14.511,31.81,-24.44
1982,5,8,14.319,,-1.56
1982,5,10,14.222,,-6.84
1982,5,12,14.137,45.87,-20.48
1982,5,14,14.083,39.24,-24.99
1982,5,16,14.003,66.5,
1982,5,18,13.853,76.88,-17.26
1982,5,20,13.653,,-21.89
1982,5,22,13.576,89.2,-39.29
1982,5,24,13.583,78.23,-10.34
1982,5,26,13.543,27.92,0.79
1982,5,28,13.38,97.78,-10.26
1982,5,30,13.27,28.66,-5.85
1982,6,1,13.091,,0.5
1982,6,3,12.99,12.31,-31.78
1982,6,5,12.874,28.13,-15.26
1982,6,7,12.834,49.83,
1982,6,9,12.75,12.73,-12.87
1982,6,11,12.709,71.01,-5.33
1982,6,13,12.678,63.2,-17.71
1982,6,15,12.652,76,-22.93
1982,6,17,12.476,65.99,-5.93
1982,6,19,12.317,51.78,-24.54
1982,6,21,12.145,10.11,-2.54
1982,6,23,12.079,76.04,4.13
1982,6,25,11.918,32.05,-16.07
1982,6,27,11.868,78.54,
1982,6,29,11.76,64.59,
1982,7,1,11.425,53.56,-13.76
1982,7,3,11.442,38.99,-27.02
1982,7,5,11.344,,-12.87
1982,7,7,11.165,21.52,-6.92
1982,7,9,11.043,32.63,-36.72
1982,7,11,10.816,26.99,-3.04
1982,7,13,10.664,86.87,
1982,7,15,10.436,39.31,-37.72
1982,7,17,10.264,14.37,
1982,7,19,10.179,,-11.74
1982,7,21,10.022,16.39,-8.87
1982,7,23,9.782,97.71,-21.6
1982,7,25,9.638,60.64,
1982,7,27,9.417,70.59,
1982,7,29,9.22,43.9,
1982,7,31,9.016,29.35,
1982,8,2,8.939,15.96,-21.03
1982,8,4,8.746,25.47,-23.77
1982,8,6,8.672,14.21,-31.52
1982,8,8,8.45,13.04,-1.45
1982,8,10,8.437,75.1,-25.45
1982,8,12,8.366,,-14.52
1982,8,14,8.152,54.83,-26.86
1982,8,16,8.008,53.52,-22.55
1982,8,18,8.027,74.08,0.12
1982,8,20,7.915,68.66,-25.79
1982,8,22,7.79,62.88,-38.43
1982,8,24,7.759,97.74,-34.62
1982,8,26,7.7,89.51,
1982,8,28,7.582,,-15.31
1982,8,30,7.55,32.73,
1982,9,1,7.404,14.09,-12.77
1982,9,3,7.248,93.73,-3.89
1982,9,5,7.233,66.36,-10.98
1982,9,7,7.182,95.67,
1982,9,9,7.18,53.89,4.83
1982,9,11,7.173,42.08,-13.48
1982,9,13,7.16,77.72,-36.01
1982,9,15,7.196,14.88,-0.31
1982,9,17,7.197,89.83,
1982,9,19,7.224,54.96,
1982,9,21,7.329,89.52,-32.73
1982,9,23,7.422,48.41,
1982,9,25,7.417,90.66,-8.83
1982,9,27,7.495,,0.58
1982,9,29,7.666,63.42,-2.08
1982,10,1,7.768,,
1982,10,3,8.016,,-0.9
1982,10,5,8.184,61.05,-18.63
1982,10,7,8.331,,-25.86
1982,10,9,8.875,11.74,-27.13
1982,10,11,9.179,18.57,-15.46
1982,10,13,9.429,,-30.29
1982,10,15,9.608,28.49,-37.35
1982,10,17,9.797,36.07,-19.78
1982,10,19,9.836,4.86,-37.97
1982,10,21,9.847,27.31,
1982,10,23,10.067,,-39.9
1982,10,25,10.198,61.27,-32.55
1982,10,27,10.423,60.23,
1982,10,29,10.564,53.21,-26.69
1982,10,31,10.615,99.54,
1982,11,2,10.817,45.98,3.84
1982,11,4,10.893,30.6,-5.09
1982,11,6,11.131,58.18,-31.5
1982,11,8,11.03,,-7.83
1982,11,10,11.203,16.68,-39.05
1982,11,12,11.348,43.63,
1982,11,14,11.573,93.87,
1982,11,16,11.792,20.77,2.5
1982,11,18,11.774,,-20.35
1982,11,20,11.698,67.01,-21.85
1982,11,22,11.854,6.7,-3.52
1982,11,24,11.929,,-33.01
1982,11,26,12.192,,-21.72
1982,11,28,12.483,92.25,-4.39
1982,11,30,12.695,68.46,-38.87
1982,12,2,12.822,76.24,-19.35
1982,12,4,12.866,22.69,-25.93
1982,12,6,12.963,64.97,-4.43
1982,12,8,13.223,23.01,-6.99
